0
0,1,0,30,0,29,0,870
0,31,0,59,0,899,0,871
0,2,0,60,0,28,0,840
0,32,0,61,0,89,0,58,0,898,0,869,0,841,0,872
0,62,0,88,0,868,0,842
0,3,0,90,0,27,0,810
0,33,0,91,0,119,0,57,0,897,0,839,0,811,0,873
0,63,0,92,0,118,0,87,0,867,0,838,0,812,0,843
0,4,0,120,0,26,0,780
0,34,0,121,0,149,0,56,0,896,0,809,0,781,0,874
0,93,0,117,0,837,0,813
0,64,0,122,0,148,0,86,0,866,0,808,0,782,0,844
0,5,0,150,0,25,0,750
0,94,0,123,0,147,0,116,0,836,0,807,0,783,0,814
0,35,0,151,0,179,0,55,0,895,0,779,0,751,0,875
1,30,30,29,29,870,870,1
1,29,30,870
1,31,30,31,30,59,29,59,29,899,870,899,870,871,1,871
1,59,30,871,30,899,29,31,29,871,870,59,870,31,1,899
1,2,30,60,29,28,870,840
1,60,30,2,30,28,29,60,29,840,870,28,870,2,1,840
1,28,30,840,29,2,870,60
1,32,30,61,30,89,29,58,29,898,870,869,870,841,1,872
1,61,30,32,30,58,29,89,29,869,870,898,870,872,1,841
1,89,30,872,30,898,29,61,29,841,870,58,870,32,1,869
1,58,30,841,30,869,29,32,29,872,870,89,870,61,1,898
1,62,30,62,30,88,29,88,29,868,870,868,870,842,1,842
1,88,30,842,30,868,29,62,29,842,870,88,870,62,1,868
1,3,30,90,29,27,870,810
1,90,30,3,30,27,29,90,29,810,870,27,870,3,1,810
1,27,30,810,29,3,870,90
31,59,31,871,59,899,899,871
31,899,59,871
31,2,31,60,59,60,59,28,899,28,899,840,871,840,871,2
31,28,31,840,59,840,59,2,899,2,899,60,871,60,871,28
31,32,31,61,59,89,59,58,899,898,899,869,871,841,871,872
31,89,31,872,59,898,59,61,899,841,899,58,871,32,871,869
31,58,31,841,59,869,59,32,899,872,899,89,871,61,871,898
31,898,31,869,59,841,59,872,899,32,899,61,871,89,871,58
31,62,59,88,899,868,871,842
31,88,31,842,59,868,59,62,899,842,899,88,871,62,871,868
31,868,59,842,899,62,871,88
31,3,31,90,59,90,59,27,899,27,899,810,871,810,871,3
31,27,31,810,59,810,59,3,899,3,899,90,871,90,871,27
2,60,60,28,28,840,840,2
2,28,60,840
2,32,60,61,60,89,28,58,28,898,840,869,840,841,2,872
2,61,60,32,60,58,28,89,28,869,840,898,840,872,2,841
2,89,60,872,60,898,28,61,28,841,840,58,840,32,2,869
2,58,60,841,60,869,28,32,28,872,840,89,840,61,2,898
2,62,60,62,60,88,28,88,28,868,840,868,840,842,2,842
2,88,60,842,60,868,28,62,28,842,840,88,840,62,2,868
2,3,60,90,28,27,840,810
2,90,60,3,60,27,28,90,28,810,840,27,840,3,2,810
2,27,60,810,28,3,840,90
32,61,89,58,898,869,841,872
32,89,61,872,89,898,58,61,898,841,869,58,841,32,872,869
32,58,61,841,89,869,898,872
32,898,61,869,89,841,58,872
32,869,61,898,89,872,58,841
32,872,61,89,58,898,869,841
32,62,61,62,89,88,58,88,898,868,869,868,841,842,872,842
32,88,61,842,89,868,58,62,898,842,869,88,841,62,872,868
32,868,61,868,89,842,58,842,898,62,869,62,841,88,872,88
32,842,61,88,89,62,58,868,898,88,869,842,841,868,872,62
32,3,61,90,89,90,58,27,898,27,869,810,841,810,872,3
32,90,61,3,89,27,58,90,898,810,869,27,841,3,872,810
32,27,61,810,89,810,58,3,898,3,869,90,841,90,872,27
32,810,61,27,89,3,58,810,898,90,869,3,841,27,872,90
62,88,62,842,88,868,868,842
62,868,88,842
62,3,62,90,88,90,88,27,868,27,868,810,842,810,842,3
62,27,62,810,88,810,88,3,868,3,868,90,842,90,842,27
3,90,90,27,27,810,810,3
3,27,90,810
1
1,2,1,31,1,0,1,871
1,32,1,30,1,870,1,872
1,3,1,61,1,29,1,841
1,33,1,62,1,60,1,59,1,899,1,840,1,842,1,873
1,63,1,89,1,869,1,843
1,4,1,91,1,28,1,811
1,34,1,92,1,90,1,58,1,898,1,810,1,812,1,874
1,64,1,93,1,119,1,88,1,868,1,839,1,813,1,844
1,5,1,121,1,27,1,781
1,35,1,122,1,120,1,57,1,897,1,780,1,782,1,875
1,94,1,118,1,838,1,814
1,65,1,123,1,149,1,87,1,867,1,809,1,783,1,845
1,6,1,151,1,26,1,751
1,95,1,124,1,148,1,117,1,837,1,808,1,784,1,815
1,36,1,152,1,150,1,56,1,896,1,750,1,752,1,876
2,31,31,0,0,871,871,2
2,0,31,871
2,32,31,32,31,30,0,30,0,870,871,870,871,872,2,872
2,30,31,872,31,870,0,32,0,872,871,30,871,32,2,870
2,3,31,61,0,29,871,841
2,61,31,3,31,29,0,61,0,841,871,29,871,3,2,841
